0,SteveDaines,The honor was all mine Kandi is an amazing representative of and our great state MontanaProud,0.7000000000000001,"['kandi', 'amazing representative', 'great state', 'montanaproud']",R,Montana
115,RonWyden,Reminder yesterday Democrats were on the Senate floor calling for the passage of the SAFEAct to secure our elections and the Republican majority wouldn t even entertain the idea of discussing it Protecting our elections should not be a partisan issue,0.4,"['reminder', 'senate floor', 'safeact', 'republican', 'majority wouldn t', 'protecting', 'partisan issue']",D,Oregon
116,RonWyden,As I ve said time and time again there won t be movement on drug pricing on the Senate floor until there s a vote on Medicare negotiation HR3,0.0,"['senate floor', 'medicare', 'hr3']",D,Oregon
117,RonWyden, Thank you Sen for your tireless work on Saudi human rights violations and justiceforjamal,0.0,"['thank', 'sen', 'tireless work', 'saudi', 'human rights violations']",D,Oregon
118,RonWyden,Donald Trump s priorities begin and end with consolidating power Trump spends his days threatening the Justice Department in order to keep his criminal buddies out of prison while Bill Barr grotesquely pillages the rule of law,-0.47500000000000003,"['donald trump', 's priorities', 'trump', 'justice department', 'criminal buddies', 'bill barr']",D,Oregon
119,RonWyden,It s time for those responsible for the brutal murder of journalist Jamal Khashoggi to be held accountable As my friend resifi says the first step to justice is truth We re calling on you to tell your elected officials that you want JusticeForJamal,-0.1416666666666667,"['s time', 'brutal murder', 'jamal khashoggi', 'friend resifi', 'justiceforjamal']",D,Oregon
120,SenBobCasey,20 cut to disability research programs 19 cut to family caregiver support services 13 cut to assistive technology programs 9 cut to Health and Human Services Billions of dollars slashed from Medicare and Medicaid All while expanding tax cuts for the rich,0.1875,"['disability research programs', 'family caregiver support services', 'assistive technology programs', 'billions', 'medicare', 'medicaid', 'tax cuts']",D,Pennsylvania
121,SenBobCasey,President I m going to protect seniors President s FY 2021 budget 100 cut to falls prevention programs 50 cut to lifespan respite care program 25 cut to intellectual disability programs 25 cut to aging and disability resource centers con t,0.3,"['seniors president s', 'fy', 'prevention programs', 'lifespan respite care program', 'intellectual disability programs', 'disability resource centers', 'con t']",D,Pennsylvania
122,SenBobCasey,As Americans it is our solemn obligation to help families ensure every child has the support they need yet we have failed them time and again I m fighting to change that Learn more,0.0,"['solemn obligation', 'families ensure', 'learn']",D,Pennsylvania
123,SenBobCasey,All of our Nation s children deserve freedom and the opportunity that comes with freedom This is a mission worthy of a great country Retweet if you agree FiveFreedomsForAmericasChildren,0.5666666666666667,"['nation', 's children deserve freedom', 'mission worthy', 'great country', 'retweet', 'fivefreedomsforamericaschildren']",D,Pennsylvania
124,SenBobCasey,I m proposing the most sweeping expansions of children s health care economic security education nutrition and safety we ve seen We ve got to think big When it comes to our kids I m fighting for radical change LEARN MORE InvestInChildren,0.3,"['children s health care', 'economic security education nutrition', 'learn more investinchildren']",D,Pennsylvania
125,SenToomey,Four score and seven years ago our fathers brought forth on this continent a new nation conceived in Liberty and dedicated to the proposition that all men are created equal Today on his birthday we honor the incredible life and legacy of President Abraham Lincoln,0.34545454545454546,"['new nation', 'liberty', 'incredible life', 'abraham lincoln']",R,Pennsylvania
126,SenToomey,The Chinese gov hacked amp stole the private data of millions of Americans including over 5 5 million Pennsylvanians This reckless unacceptable amp brazen disregard for the rule of law must not stand I fully support s indictments today,0.0,"['chinese gov', 'private data', 'pennsylvanians', 'reckless unacceptable amp brazen disregard', 'support s indictments']",R,Pennsylvania
127,SenToomey,PA s future is bright Yet another example students at took top prize in s nation wide adaptive assistive tech competition by making a cane that allows those w visual mobility challenges sense objects around them Incredibly inspiring and impressive work,0.37142857142857144,"['pa', 's future', 'example students', 'top prize', 's nation', 'wide adaptive assistive tech competition', 'w visual mobility', 'sense objects', 'incredibly', 'impressive work']",R,Pennsylvania
128,SenToomey,The economy is the best its been in my life and I m not that young January s jobs report showed 225K jobs added expectation was 162K Wage growth of 3 1 Workers wages outpacing managers wages Proof that GOP and s pro growth policies are working,0.55,"['january', 's jobs', '225k jobs', 'wage', 'managers wages', 'pro growth policies']",R,Pennsylvania
129,SenToomey,Today I joined a majority of the Senate in voting to acquit President Trump My full statement is below,0.35,"['acquit president', 'trump', 'full statement']",R,Pennsylvania
130,SenJackReed,Justice should be impartial There shouldn t be one set of sentencing guidelines for everyone amp another set for President Trump s friends amp those who lied to protect him Clearly something is rotten here or all four prosecutors wouldn t have felt it necessary to quit,0.05000000000000001,"['shouldn t', 'trump', 's friends amp', 'clearly', 'prosecutors wouldn t']",D,Rhode Island
131,SenJackReed,It was appalling when Pres Trump attacked career military amp Foreign Service Officers for telling the truth under oath It s appalling now that he s interfering in our criminal justice system to try amp help a campaign operative convicted of lying under oath,-0.265,"['pres trump', 'military amp', 'foreign service', 'officers', 'criminal justice system', 'campaign operative']",D,Rhode Island
132,SenJackReed,The Trump Health Care Plan Destroy the ACA Kick millions of Americans off their affordable health insurance Strip protections for people w pre existing conditions Force consumers amp states to pay more Enrich big insurance amp Rx companies Redirect to border wall,0.09999999999999999,"['trump', 'care', 'destroy', 'aca kick', 'affordable health insurance strip protections', 'people w pre', 'conditions force consumers amp states', 'enrich', 'big insurance amp', 'rx', 'redirect', 'border wall']",D,Rhode Island
133,SenJackReed,Pres Trump s assault on affordable healthcare continues He s trying to cut 920 billion from Medicaid suing to end protections for people w pre existing conditions amp begging the Supreme Court to do what he could not end the AffordableCareAct We must ProtectOurCare,0.0,"['pres trump', 's assault', 'affordable healthcare', 'medicaid', 'people w pre', 'conditions amp', 'supreme court', 'affordablecareact', 'protectourcare']",D,Rhode Island
134,SenJackReed,Pres Trump continues to try to mislead the American people and this irresponsible budget is another example of how he says one thing and then does the opposite,0.0,"['pres trump', 'american people', 'irresponsible budget']",D,Rhode Island
135,SenWhitehouse,Factually wrong on what it will take to reduce carbon emissions Pretty much every serious look at this agrees a major legislative initiative is necessary Fossil fuel s multi trillion global subsidy needs correcting to give innovation a fair field,0.04739583333333333,"['factually', 'carbon emissions', 'serious look', 'major legislative initiative', 'fossil', 'fuel s multi trillion', 'global subsidy needs', 'fair field']",D,Rhode Island
136,SenWhitehouse,One reason the fossil fuel industry lies like champions is that they ve been at it so long Practice practice practice even at the dark arts of climate denial Fraud is their strategy,-0.1,"['fossil fuel industry', 'practice practice practice', 'dark arts', 'climate denial', 'fraud']",D,Rhode Island
137,SenWhitehouse,If you re wondering whether the rat is in the granary or maybe there s some legitimate explanation the resignation of all the career people in the case sends a pretty strong message that it s the rat,0.3416666666666667,"['legitimate explanation', 'career people', 'case sends', 'pretty strong message']",D,Rhode Island
138,SenWhitehouse,This is pretty far in the weeds But we work in the weeds to make these kind of results more likely by expanding the market for more renewables,0.325,[],D,Rhode Island
139,SenWhitehouse,Always proud to support an organization that brings hope and joy to so many,0.7000000000000001,[],D,Rhode Island
140,LindseyGrahamSC, is headed back to DC after a successful day in New Hampshire for the NHprimary2020 Great trip with,0.4215909090909091,"['dc', 'successful day', 'hampshire', 'nhprimary2020', 'great trip']",R,South Carolina
